ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
07280;2013-04-18T14:00:00+02:00;102170;40;1;240;3.6;290.35;283.05;62;60000;0;;;100;;1250;;;;99500;;;;;;;;;;;;8.700000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1109.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
07280;2013-04-14T02:00:00+02:00;102430;60;1;340;0.5;284.35;280.65;78;50000;0;;;100;;2250;;;;99690;;;;;;;;;;;;1.500000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1102.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
07280;2013-04-15T14:00:00+02:00;102110;-90;6;160;3.6;292.45;282.05;51;19000;0;;;100;;;;;;99460;;;;;;;;;;;;5.700000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1106.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-04-23T05:00:00+02:00;102210;20;3;340;2.1;277.85;273.25;72;26000;0;;;;;;;;;99410;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-04-28T02:00:00+02:00;101280;70;1;330;2.6;277.85;276.85;93;8000;51;;;100;;250;;;;98510;;;;;;;;;;;;4.100000;-10;;0.000000;;;0.0;2.0;3.0;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;51
07280;2013-04-27T23:00:00+02:00;101210;200;1;360;2.1;277.65;276.45;92;9000;61;;;100;;450;;;;98440;;;;;;;;;;;;6.700000;-10;;0.000000;;;0.4;2.0;;;;710.000000;1107.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;61
07280;2013-04-29T20:00:00+02:00;101790;-170;8;20;3.1;283.65;281.25;85;10000;60;;;100;;;;;;99060;;;;280.250000;;285.850000;;;;;;4.600000;-10;;0.000000;;;0.4;0.6;;0.6;;710.000000;1105.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;60
07280;2013-05-20T08:00:00+02:00;101370;-30;6;190;6.2;282.05;280.05;87;19000;0;;;100;;450;;;;98640;;;;281.750000;;283.950000;;281.150000;;;;9.300000;-10;0;0.000000;;;0.0;0.0;;0.0;4.0;710.000000;1109.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-05-26T20:00:00+02:00;101790;-50;6;320;2.1;284.45;276.75;59;60000;0;;;100;;1250;;;;99070;;;;279.550000;;285.050000;;;;;;4.100000;-10;;0.000000;;;0.0;0.0;;0.0;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-05-23T02:00:00+02:00;101660;-160;8;320;2.6;279.45;277.45;87;24000;0;;;90;;1250;;;;98900;;;;;;;;;;;;4.100000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
